date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,overtimes,attendance,arena_name,boxscore_url,game_id,season
"Thu, Nov 9, 2023",7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Thu, Nov 9, 2023",9:30p,Atlanta Hawks,,Orlando Magic,,,,,,,,2024
"Fri, Nov 10, 2023",7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Fri, Nov 10, 2023",7:00p,Charlotte Hornets,,Washington Wizards,,,,,Capital One Arena,,,2024
"Fri, Nov 10, 2023",7:30p,Brooklyn Nets,,Boston Celtics,,,,,TD Garden,,,2024
"Fri, Nov 10, 2023",8:00p,New Orleans Pelicans,,Houston Rockets,,,,,Toyota Center,,,2024
"Fri, Nov 10, 2023",8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Fri, Nov 10, 2023",8:00p,Minnesota Timberwolves,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Fri, Nov 10, 2023",8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Fri, Nov 10, 2023",10:00p,Los Angeles Lakers,,Phoenix Suns,,,,,Footprint Center,,,2024
"Fri, Nov 10, 2023",10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Sat, Nov 11, 2023",6:00p,Milwaukee Bucks,,Orlando Magic,,,,,Amway Center,,,2024
"Sat, Nov 11, 2023",7:00p,Toronto Raptors,,Boston Celtics,,,,,TD Garden,,,2024
"Sat, Nov 11, 2023",7:30p,Miami Heat,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Sat, Nov 11, 2023",8:30p,Cleveland Cavaliers,,Golden State Warriors,,,,,Chase Center,,,2024
"Sun, Nov 12, 2023",12:00p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Sun, Nov 12, 2023",3:00p,Washington Wizards,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Sun, Nov 12, 2023",3:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Sun, Nov 12, 2023",6:00p,Indiana Pacers,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Sun, Nov 12, 2023",7:00p,Detroit Pistons,,Chicago Bulls,,,,,United Center,,,2024
"Sun, Nov 12, 2023",7:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,,,2024
"Sun, Nov 12, 2023",7:00p,Dallas Mavericks,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Sun, Nov 12, 2023",7:00p,Miami Heat,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Sun, Nov 12, 2023",8:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,Footprint Center,,,2024
"Sun, Nov 12, 2023",8:30p,Minnesota Timberwolves,,Golden State Warriors,,,,,Chase Center,,,2024
"Sun, Nov 12, 2023",10:00p,Portland Trail Blazers,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Mon, Nov 13, 2023",7:30p,New York Knicks,,Boston Celtics,,,,,TD Garden,,,2024
"Mon, Nov 13, 2023",7:30p,Washington Wizards,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Mon, Nov 13, 2023",8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Mon, Nov 13, 2023",10:00p,Cleveland Cavaliers,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Tue, Nov 14, 2023",7:00p,Miami Heat,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Tue, Nov 14, 2023",7:00p,Atlanta Hawks,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Tue, Nov 14, 2023",7:00p,Indiana Pacers,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Tue, Nov 14, 2023",7:30p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Tue, Nov 14, 2023",7:30p,San Antonio Spurs,,Oklahoma City Thunder,,,,,Paycom Center,,,2024
"Tue, Nov 14, 2023",8:00p,Dallas Mavericks,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Tue, Nov 14, 2023",9:00p,Portland Trail Blazers,,Utah Jazz,,,,,Delta Center,,,2024
"Tue, Nov 14, 2023",10:00p,Los Angeles Clippers,,Denver Nuggets,,,,,Ball Arena,,,2024
"Tue, Nov 14, 2023",10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,Chase Center,,,2024
"Tue, Nov 14, 2023",10:30p,Memphis Grizzlies,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Wed, Nov 15, 2023",7:00p,Dallas Mavericks,,Washington Wizards,,,,,Capital One Arena,,,2024
"Wed, Nov 15, 2023",7:30p,New York Knicks,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Wed, Nov 15, 2023",7:30p,Boston Celtics,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Wed, Nov 15, 2023",7:30p,Milwaukee Bucks,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Wed, Nov 15, 2023",8:00p,Orlando Magic,,Chicago Bulls,,,,,United Center,,,2024
"Wed, Nov 15, 2023",9:00p,Minnesota Timberwolves,,Phoenix Suns,,,,,Footprint Center,,,2024
"Wed, Nov 15, 2023",10:00p,Sacramento Kings,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Wed, Nov 15, 2023",10:00p,Cleveland Cavaliers,,Portland Trail Blazers,,,,,Moda Center,,,2024
"Thu, Nov 16, 2023",7:30p,Brooklyn Nets,,Miami Heat,,,,,Kaseya Center,,,2024
"Thu, Nov 16, 2023",10:00p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,,,2024
"Fri, Nov 17, 2023",7:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Fri, Nov 17, 2023",7:00p,New York Knicks,,Washington Wizards,,,,,Capital One Arena,,,2024
"Fri, Nov 17, 2023",7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Fri, Nov 17, 2023",7:30p,Detroit Pistons,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Fri, Nov 17, 2023",7:30p,Sacramento Kings,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Fri, Nov 17, 2023",7:30p,Boston Celtics,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Fri, Nov 17, 2023",8:00p,Orlando Magic,,Chicago Bulls,,,,,United Center,,,2024
"Fri, Nov 17, 2023",8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Fri, Nov 17, 2023",10:00p,Los Angeles Lakers,,Portland Trail Blazers,,,,,Moda Center,,,2024
"Fri, Nov 17, 2023",10:00p,Phoenix Suns,,Utah Jazz,,,,,Delta Center,,,2024
"Fri, Nov 17, 2023",10:30p,Houston Rockets,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Sat, Nov 18, 2023",6:00p,New York Knicks,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Sat, Nov 18, 2023",7:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Sat, Nov 18, 2023",8:00p,Miami Heat,,Chicago Bulls,,,,,United Center,,,2024
"Sat, Nov 18, 2023",8:00p,Dallas Mavericks,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Sat, Nov 18, 2023",8:00p,Memphis Grizzlies,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Sat, Nov 18, 2023",8:30p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,,,2024
"Sun, Nov 19, 2023",3:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Sun, Nov 19, 2023",4:00p,Detroit Pistons,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Sun, Nov 19, 2023",5:00p,Orlando Magic,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Sun, Nov 19, 2023",6:00p,Denver Nuggets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Sun, Nov 19, 2023",7:30p,Sacramento Kings,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Sun, Nov 19, 2023",8:00p,Boston Celtics,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Sun, Nov 19, 2023",8:00p,Phoenix Suns,,Utah Jazz,,,,,Delta Center,,,2024
"Sun, Nov 19, 2023",9:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,Moda Center,,,2024
"Sun, Nov 19, 2023",9:30p,Houston Rockets,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Mon, Nov 20, 2023",7:00p,Boston Celtics,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Mon, Nov 20, 2023",7:00p,Denver Nuggets,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Mon, Nov 20, 2023",7:00p,Milwaukee Bucks,,Washington Wizards,,,,,Capital One Arena,,,2024
"Mon, Nov 20, 2023",8:00p,Miami Heat,,Chicago Bulls,,,,,United Center,,,2024
"Mon, Nov 20, 2023",8:00p,New York Knicks,,Minnesota Timberwolves,,,,,Target Center,,,2024
"Mon, Nov 20, 2023",8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Mon, Nov 20, 2023",8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Mon, Nov 20, 2023",10:00p,Houston Rockets,,Golden State Warriors,,,,,Chase Center,,,2024
"Tue, Nov 21, 2023",7:00p,Toronto Raptors,,Orlando Magic,,,,,Amway Center,,,2024
"Tue, Nov 21, 2023",7:30p,Indiana Pacers,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Tue, Nov 21, 2023",7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Tue, Nov 21, 2023",9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,Footprint Center,,,2024
"Tue, Nov 21, 2023",10:00p,Utah Jazz,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Wed, Nov 22, 2023",7:00p,Washington Wizards,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Wed, Nov 22, 2023",7:00p,Denver Nuggets,,Orlando Magic,,,,,Amway Center,,,2024
"Wed, Nov 22, 2023",7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Wed, Nov 22, 2023",7:30p,Milwaukee Bucks,,Boston Celtics,,,,,TD Garden,,,2024
"Wed, Nov 22, 2023",7:30p,Miami Heat,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Wed, Nov 22, 2023",7:30p,Toronto Raptors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Wed, Nov 22, 2023",8:00p,Memphis Grizzlies,,Houston Rockets,,,,,Toyota Center,,,2024
"Wed, Nov 22, 2023",8:00p,Philadelphia 76ers,,Minnesota Timberwolves,,,,,Target Center,,,2024
"Wed, Nov 22, 2023",8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Wed, Nov 22, 2023",8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,Paycom Center,,,2024
"Wed, Nov 22, 2023",8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Wed, Nov 22, 2023",10:00p,Golden State Warriors,,Phoenix Suns,,,,,Footprint Center,,,2024
"Wed, Nov 22, 2023",10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,,,2024
"Wed, Nov 22, 2023",10:30p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Fri, Nov 24, 2023",2:30p,Boston Celtics,,Orlando Magic,,,,,Amway Center,,,2024
"Fri, Nov 24, 2023",5:00p,Phoenix Suns,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Fri, Nov 24, 2023",7:30p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Fri, Nov 24, 2023",7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Fri, Nov 24, 2023",8:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,,,2024
"Fri, Nov 24, 2023",8:00p,Detroit Pistons,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Fri, Nov 24, 2023",8:00p,Washington Wizards,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Fri, Nov 24, 2023",8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,,,2024
"Fri, Nov 24, 2023",10:00p,San Antonio Spurs,,Golden State Warriors,,,,,Chase Center,,,2024
"Fri, Nov 24, 2023",10:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Sat, Nov 25, 2023",5:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,Paycom Center,,,2024
"Sat, Nov 25, 2023",6:00p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Sat, Nov 25, 2023",7:00p,Atlanta Hawks,,Washington Wizards,,,,,Capital One Arena,,,2024
"Sat, Nov 25, 2023",7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Sat, Nov 25, 2023",9:30p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,,,2024
"Sat, Nov 25, 2023",10:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Sun, Nov 26, 2023",3:30p,Portland Trail Blazers,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Sun, Nov 26, 2023",6:00p,Atlanta Hawks,,Boston Celtics,,,,,TD Garden,,,2024
"Sun, Nov 26, 2023",6:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Sun, Nov 26, 2023",6:00p,Phoenix Suns,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Sun, Nov 26, 2023",6:00p,Charlotte Hornets,,Orlando Magic,,,,,Amway Center,,,2024
"Sun, Nov 26, 2023",7:30p,Chicago Bulls,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Sun, Nov 26, 2023",7:30p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Sun, Nov 26, 2023",8:00p,San Antonio Spurs,,Denver Nuggets,,,,,Ball Arena,,,2024
"Mon, Nov 27, 2023",7:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Mon, Nov 27, 2023",7:00p,Portland Trail Blazers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Mon, Nov 27, 2023",7:00p,Los Angeles Lakers,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Mon, Nov 27, 2023",9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,,,2024
"Mon, Nov 27, 2023",10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Tue, Nov 28, 2023",7:30p,Chicago Bulls,,Boston Celtics,,,,,TD Garden,,,2024
"Tue, Nov 28, 2023",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Tue, Nov 28, 2023",7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Tue, Nov 28, 2023",7:30p,Milwaukee Bucks,,Miami Heat,,,,,Kaseya Center,,,2024
"Tue, Nov 28, 2023",7:30p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Tue, Nov 28, 2023",8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,,,2024
"Tue, Nov 28, 2023",8:30p,Houston Rockets,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Tue, Nov 28, 2023",10:00p,Golden State Warriors,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Wed, Nov 29, 2023",7:00p,Los Angeles Lakers,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Wed, Nov 29, 2023",7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,,,2024
"Wed, Nov 29, 2023",7:30p,Phoenix Suns,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Wed, Nov 29, 2023",8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Wed, Nov 29, 2023",8:00p,Philadelphia 76ers,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Wed, Nov 29, 2023",9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,,,2024
"Wed, Nov 29, 2023",10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Thu, Nov 30, 2023",7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Thu, Nov 30, 2023",7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Thu, Nov 30, 2023",7:30p,Indiana Pacers,,Miami Heat,,,,,Kaseya Center,,,2024
"Thu, Nov 30, 2023",7:30p,Detroit Pistons,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Thu, Nov 30, 2023",8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,United Center,,,2024
"Thu, Nov 30, 2023",8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,Target Center,,,2024
"Thu, Nov 30, 2023",8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,,,2024
"Thu, Nov 30, 2023",8:00p,Atlanta Hawks,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Thu, Nov 30, 2023",10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,Chase Center,,,2024
"Fri, Dec 1, 2023",7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,,,2024
"Fri, Dec 1, 2023",7:30p,Philadelphia 76ers,,Boston Celtics,,,,,TD Garden,,,2024
"Fri, Dec 1, 2023",7:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Fri, Dec 1, 2023",7:30p,New York Knicks,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Fri, Dec 1, 2023",8:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Fri, Dec 1, 2023",10:00p,Denver Nuggets,,Phoenix Suns,,,,,Footprint Center,,,2024
"Sat, Dec 2, 2023",4:00p,Golden State Warriors,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Sat, Dec 2, 2023",5:00p,Minnesota Timberwolves,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Sat, Dec 2, 2023",7:00p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Sat, Dec 2, 2023",7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Sat, Dec 2, 2023",8:00p,New Orleans Pelicans,,Chicago Bulls,,,,,United Center,,,2024
"Sat, Dec 2, 2023",8:00p,Indiana Pacers,,Miami Heat,,,,,Kaseya Center,,,2024
"Sat, Dec 2, 2023",8:00p,Atlanta Hawks,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Sat, Dec 2, 2023",9:00p,Oklahoma City Thunder,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Sat, Dec 2, 2023",9:00p,Memphis Grizzlies,,Phoenix Suns,,,,,Footprint Center,,,2024
"Sat, Dec 2, 2023",9:30p,Portland Trail Blazers,,Utah Jazz,,,,,Delta Center,,,2024
"Sat, Dec 2, 2023",10:00p,Denver Nuggets,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Sat, Dec 2, 2023",10:30p,Houston Rockets,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Mon, Dec 11, 2023",7:00p,Miami Heat,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Mon, Dec 11, 2023",7:00p,Indiana Pacers,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Mon, Dec 11, 2023",7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,,,2024
"Mon, Dec 11, 2023",7:00p,Washington Wizards,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Mon, Dec 11, 2023",7:30p,Denver Nuggets,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Mon, Dec 11, 2023",7:30p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Mon, Dec 11, 2023",8:00p,San Antonio Spurs,,Houston Rockets,,,,,Toyota Center,,,2024
"Mon, Dec 11, 2023",8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Mon, Dec 11, 2023",8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Mon, Dec 11, 2023",8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Mon, Dec 11, 2023",8:00p,Utah Jazz,,Oklahoma City Thunder,,,,,Paycom Center,,,2024
"Mon, Dec 11, 2023",10:00p,Brooklyn Nets,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Mon, Dec 11, 2023",10:30p,Portland Trail Blazers,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Tue, Dec 12, 2023",7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,TD Garden,,,2024
"Tue, Dec 12, 2023",7:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Tue, Dec 12, 2023",8:00p,Denver Nuggets,,Chicago Bulls,,,,,United Center,,,2024
"Tue, Dec 12, 2023",10:00p,Golden State Warriors,,Phoenix Suns,,,,,Footprint Center,,,2024
"Tue, Dec 12, 2023",10:30p,Sacramento Kings,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Wed, Dec 13, 2023",7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,Little Caesars Arena,,,2024
"Wed, Dec 13, 2023",7:00p,New Orleans Pelicans,,Washington Wizards,,,,,Capital One Arena,,,2024
"Wed, Dec 13, 2023",7:30p,Charlotte Hornets,,Miami Heat,,,,,Kaseya Center,,,2024
"Wed, Dec 13, 2023",7:30p,Atlanta Hawks,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Wed, Dec 13, 2023",8:00p,Memphis Grizzlies,,Houston Rockets,,,,,Toyota Center,,,2024
"Wed, Dec 13, 2023",8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Wed, Dec 13, 2023",8:00p,Los Angeles Lakers,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Wed, Dec 13, 2023",9:00p,Brooklyn Nets,,Phoenix Suns,,,,,Footprint Center,,,2024
"Wed, Dec 13, 2023",9:00p,New York Knicks,,Utah Jazz,,,,,Delta Center,,,2024
"Thu, Dec 14, 2023",7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,TD Garden,,,2024
"Thu, Dec 14, 2023",7:30p,Chicago Bulls,,Miami Heat,,,,,Kaseya Center,,,2024
"Thu, Dec 14, 2023",8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Thu, Dec 14, 2023",9:00p,Brooklyn Nets,,Denver Nuggets,,,,,Ball Arena,,,2024
"Thu, Dec 14, 2023",10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,,,2024
"Thu, Dec 14, 2023",10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Thu, Dec 14, 2023",10:30p,Golden State Warriors,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Fri, Dec 15, 2023",7:00p,New Orleans Pelicans,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Fri, Dec 15, 2023",7:00p,Detroit Pistons,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Fri, Dec 15, 2023",7:00p,Indiana Pacers,,Washington Wizards,,,,,Capital One Arena,,,2024
"Fri, Dec 15, 2023",7:30p,Orlando Magic,,Boston Celtics,,,,,TD Garden,,,2024
"Fri, Dec 15, 2023",7:30p,Los Angeles Lakers,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Fri, Dec 15, 2023",7:30p,Atlanta Hawks,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Fri, Dec 15, 2023",8:00p,Houston Rockets,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Fri, Dec 15, 2023",10:00p,New York Knicks,,Phoenix Suns,,,,,Footprint Center,,,2024
"Sat, Dec 16, 2023",6:00p,Detroit Pistons,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Sat, Dec 16, 2023",7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,Spectrum Center,,,2024
"Sat, Dec 16, 2023",7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Sat, Dec 16, 2023",8:00p,Chicago Bulls,,Miami Heat,,,,,Kaseya Center,,,2024
"Sat, Dec 16, 2023",8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,Target Center,,,2024
"Sat, Dec 16, 2023",8:30p,Brooklyn Nets,,Golden State Warriors,,,,,Chase Center,,,2024
"Sat, Dec 16, 2023",9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,Ball Arena,,,2024
"Sat, Dec 16, 2023",9:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,Moda Center,,,2024
"Sat, Dec 16, 2023",10:00p,Utah Jazz,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Sat, Dec 16, 2023",10:30p,New York Knicks,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Sun, Dec 17, 2023",3:00p,Orlando Magic,,Boston Celtics,,,,,TD Garden,,,2024
"Sun, Dec 17, 2023",3:30p,New Orleans Pelicans,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Sun, Dec 17, 2023",7:00p,Houston Rockets,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Sun, Dec 17, 2023",8:00p,Washington Wizards,,Phoenix Suns,,,,,Footprint Center,,,2024
"Sun, Dec 17, 2023",9:00p,Golden State Warriors,,Portland Trail Blazers,,,,,Moda Center,,,2024
"Mon, Dec 18, 2023",7:00p,Houston Rockets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Mon, Dec 18, 2023",7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Mon, Dec 18, 2023",7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Mon, Dec 18, 2023",7:30p,Detroit Pistons,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Mon, Dec 18, 2023",7:30p,Minnesota Timberwolves,,Miami Heat,,,,,Kaseya Center,,,2024
"Mon, Dec 18, 2023",7:30p,Charlotte Hornets,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Mon, Dec 18, 2023",8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,Paycom Center,,,2024
"Mon, Dec 18, 2023",9:00p,Dallas Mavericks,,Denver Nuggets,,,,,Ball Arena,,,2024
"Mon, Dec 18, 2023",9:00p,Brooklyn Nets,,Utah Jazz,,,,,Delta Center,,,2024
"Mon, Dec 18, 2023",10:00p,Washington Wizards,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Mon, Dec 18, 2023",10:30p,New York Knicks,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
