,team,year,player,page,pos,height,weight,birth_date,years_experience
0,ATL,2018,Luke Babbitt,/players/b/babbilu01.html,SF,6-9,225,"June 20, 1989",7
1,ATL,2018,Kent Bazemore,/players/b/bazemke01.html,SG,6-4,195,"July 1, 1989",5
2,ATL,2018,Marco Belinelli,/players/b/belinma01.html,SG,6-5,220,"March 25, 1986",10
3,ATL,2018,DeAndre' Bembry,/players/b/bembrde01.html,SF,6-5,210,"July 4, 1994",1
4,ATL,2018,Nicolás Brussino,/players/b/brussni01.html,SF,6-7,195,"March 2, 1993",1
5,ATL,2018,Tyler Cavanaugh,/players/c/cavanty01.html,PF,6-9,238,"February 9, 1994",R
6,ATL,2018,Antonius Cleveland,/players/c/clevean01.html,SG,6-5,195,"February 2, 1994",R
7,ATL,2018,John Collins,/players/c/collijo01.html,PF,6-9,235,"September 23, 1997",R
8,ATL,2018,Dewayne Dedmon,/players/d/dedmode01.html,C,7-0,245,"August 12, 1989",4
9,ATL,2018,Malcolm Delaney,/players/d/delanma01.html,PG,6-3,190,"March 11, 1989",1
10,ATL,2018,Tyler Dorsey,/players/d/dorsety01.html,SG,6-5,183,"February 18, 1996",R
11,ATL,2018,Jeremy Evans,/players/e/evansje01.html,SF,6-9,200,"October 24, 1987",6
12,ATL,2018,Ersan İlyasova,/players/i/ilyaser01.html,PF,6-9,235,"May 15, 1987",9
13,ATL,2018,Damion Lee,/players/l/leeda03.html,SG,6-5,210,"October 21, 1992",R
14,ATL,2018,Josh Magette,/players/m/magetjo01.html,PG,6-1,160,"November 28, 1989",R
15,ATL,2018,Jaylen Morris,/players/m/morrija01.html,SG,6-5,185,"September 19, 1995",R
16,ATL,2018,Mike Muscala,/players/m/muscami01.html,C,6-10,240,"July 1, 1991",4
17,ATL,2018,Miles Plumlee,/players/p/plumlmi01.html,C,6-11,249,"September 1, 1988",5
18,ATL,2018,Taurean Prince,/players/p/princta02.html,SF,6-7,218,"March 22, 1994",1
19,ATL,2018,Dennis Schröder,/players/s/schrode01.html,PG,6-3,172,"September 15, 1993",4
20,ATL,2018,Isaiah Taylor,/players/t/taylois01.html,PG,6-3,170,"July 11, 1994",1
21,ATL,2018,Andrew White,/players/w/whitean01.html,SF,6-7,210,"June 16, 1993",R
0,BOS,2018,Kadeem Allen,/players/a/allenka01.html,PG,6-1,200,"January 15, 1993",R
1,BOS,2018,Aron Baynes,/players/b/baynear01.html,C,6-10,260,"December 9, 1986",5
2,BOS,2018,Jabari Bird,/players/b/birdja01.html,SG,6-6,198,"July 3, 1994",R
3,BOS,2018,Jaylen Brown,/players/b/brownja02.html,SG,6-6,223,"October 24, 1996",1
4,BOS,2018,Jarell Eddie,/players/e/eddieja01.html,SF,6-7,218,"October 30, 1991",2
5,BOS,2018,Jonathan Gibson,/players/g/gibsojo01.html,PG,6-2,185,"November 8, 1987",1
6,BOS,2018,Gordon Hayward,/players/h/haywago01.html,SF,6-7,225,"March 23, 1990",7
7,BOS,2018,Al Horford,/players/h/horfoal01.html,C,6-9,240,"June 3, 1986",10
8,BOS,2018,Kyrie Irving,/players/i/irvinky01.html,PG,6-2,195,"March 23, 1992",6
9,BOS,2018,Shane Larkin,/players/l/larkish01.html,PG,5-11,175,"October 2, 1992",3
10,BOS,2018,Greg Monroe,/players/m/monrogr01.html,C,6-11,265,"June 4, 1990",7
11,BOS,2018,Marcus Morris,/players/m/morrima03.html,PF,6-8,218,"September 2, 1989",6
12,BOS,2018,Abdel Nader,/players/n/naderab01.html,SF,6-5,225,"September 25, 1993",R
13,BOS,2018,Semi Ojeleye,/players/o/ojelese01.html,PF,6-6,240,"December 5, 1994",R
14,BOS,2018,Terry Rozier,/players/r/roziete01.html,PG,6-1,190,"March 17, 1994",2
15,BOS,2018,Xavier Silas,/players/s/silasxa01.html,SG,6-5,205,"January 22, 1988",1
16,BOS,2018,Marcus Smart,/players/s/smartma01.html,SG,6-3,220,"March 6, 1994",3
17,BOS,2018,Jayson Tatum,/players/t/tatumja01.html,SF,6-8,210,"March 3, 1998",R
18,BOS,2018,Daniel Theis,/players/t/theisda01.html,C,6-8,245,"April 4, 1992",R
19,BOS,2018,Guerschon Yabusele,/players/y/yabusgu01.html,PF,6-8,260,"December 17, 1995",R
0,BRK,2018,Quincy Acy,/players/a/acyqu01.html,PF,6-7,240,"October 6, 1990",5
1,BRK,2018,Jarrett Allen,/players/a/allenja01.html,C,6-11,243,"April 21, 1998",R
2,BRK,2018,Trevor Booker,/players/b/booketr01.html,PF,6-8,228,"November 25, 1987",7
3,BRK,2018,DeMarre Carroll,/players/c/carrode01.html,PF,6-6,215,"July 27, 1986",8
4,BRK,2018,Allen Crabbe,/players/c/crabbal01.html,SG,6-5,212,"April 9, 1992",4
5,BRK,2018,Dante Cunningham,/players/c/cunnida01.html,SF,6-8,230,"April 22, 1987",8
6,BRK,2018,Spencer Dinwiddie,/players/d/dinwisp01.html,PG,6-5,215,"April 6, 1993",3
7,BRK,2018,Milton Doyle,/players/d/doylemi01.html,SG,6-4,185,"October 31, 1993",R
8,BRK,2018,Joe Harris,/players/h/harrijo01.html,SG,6-6,220,"September 6, 1991",3
9,BRK,2018,Rondae Hollis-Jefferson,/players/h/holliro01.html,SF,6-6,217,"January 3, 1995",2
10,BRK,2018,Sean Kilpatrick,/players/k/kilpase01.html,SG,6-4,210,"January 6, 1990",3
11,BRK,2018,Caris LeVert,/players/l/leverca01.html,SF,6-6,205,"August 25, 1994",1
12,BRK,2018,Jeremy Lin,/players/l/linje01.html,PG,6-3,200,"August 23, 1988",7
13,BRK,2018,Timofey Mozgov,/players/m/mozgoti01.html,C,7-1,275,"July 16, 1986",7
14,BRK,2018,Jahlil Okafor,/players/o/okafoja01.html,C,6-10,270,"December 15, 1995",2
15,BRK,2018,D'Angelo Russell,/players/r/russeda01.html,PG,6-4,193,"February 23, 1996",2
16,BRK,2018,Nik Stauskas,/players/s/stausni01.html,SG,6-6,205,"October 7, 1993",3
17,BRK,2018,Rashad Vaughn,/players/v/vaughra01.html,SG,6-6,202,"August 16, 1996",2
18,BRK,2018,James Webb III,/players/w/webbja01.html,SF,6-9,202,"August 19, 1993",R
19,BRK,2018,Isaiah Whitehead,/players/w/whiteis01.html,PG,6-4,213,"March 8, 1995",1
20,BRK,2018,Jacob Wiley,/players/w/wileyja01.html,PF,6-7,215,"September 4, 1994",R
21,BRK,2018,Tyler Zeller,/players/z/zellety01.html,C,7-0,253,"January 17, 1990",5
0,CHI,2018,Ryan Arcidiacono,/players/a/arcidry01.html,PG,6-3,195,"March 26, 1994",R
1,CHI,2018,Ömer Aşık,/players/a/asikom01.html,C,7-0,255,"July 4, 1986",7
2,CHI,2018,Antonio Blakeney,/players/b/blakean01.html,SG,6-4,192,"October 4, 1996",R
3,CHI,2018,Kris Dunn,/players/d/dunnkr01.html,PG,6-3,205,"March 18, 1994",1
4,CHI,2018,Jarell Eddie,/players/e/eddieja01.html,SF,6-7,218,"October 30, 1991",2
5,CHI,2018,Kay Felder,/players/f/feldeka01.html,PG,5-9,176,"March 29, 1995",1
6,CHI,2018,Cristiano Felício,/players/f/feliccr01.html,C,6-11,270,"July 7, 1992",2
7,CHI,2018,Jerian Grant,/players/g/grantje02.html,PG,6-4,205,"October 9, 1992",2
8,CHI,2018,Justin Holiday,/players/h/holidju01.html,SG,6-6,180,"April 5, 1989",4
9,CHI,2018,Sean Kilpatrick,/players/k/kilpase01.html,SG,6-4,210,"January 6, 1990",3
10,CHI,2018,Zach LaVine,/players/l/lavinza01.html,SG,6-5,200,"March 10, 1995",3
11,CHI,2018,Robin Lopez,/players/l/lopezro01.html,C,7-0,281,"April 1, 1988",9
12,CHI,2018,Lauri Markkanen,/players/m/markkla01.html,PF,7-0,240,"May 22, 1997",R
13,CHI,2018,Nikola Mirotić,/players/m/mirotni01.html,PF,6-10,250,"February 11, 1991",3
14,CHI,2018,David Nwaba,/players/n/nwabada01.html,SG,6-5,219,"January 14, 1993",1
15,CHI,2018,Cameron Payne,/players/p/payneca01.html,PG,6-1,183,"August 8, 1994",2
16,CHI,2018,Quincy Pondexter,/players/p/pondequ01.html,SF,6-7,230,"March 10, 1988",5
17,CHI,2018,Bobby Portis,/players/p/portibo01.html,PF,6-10,250,"February 10, 1995",2
18,CHI,2018,Denzel Valentine,/players/v/valende01.html,SG,6-4,220,"November 16, 1993",1
19,CHI,2018,Noah Vonleh,/players/v/vonleno01.html,PF,6-10,257,"August 24, 1995",3
20,CHI,2018,Paul Zipser,/players/z/zipsepa01.html,SF,6-8,215,"February 18, 1994",1
0,CHO,2018,Dwayne Bacon,/players/b/bacondw01.html,SG,6-6,221,"August 30, 1995",R
1,CHO,2018,Nicolas Batum,/players/b/batumni01.html,SG,6-8,230,"December 14, 1988",9
2,CHO,2018,Michael Carter-Williams,/players/c/cartemi01.html,PG,6-5,190,"October 10, 1991",4
3,CHO,2018,Treveon Graham,/players/g/grahatr01.html,SG,6-5,219,"October 28, 1993",1
4,CHO,2018,Willy Hernangómez,/players/h/hernawi01.html,C,6-11,250,"May 27, 1994",1
5,CHO,2018,Dwight Howard,/players/h/howardw01.html,C,6-10,265,"December 8, 1985",13
6,CHO,2018,Frank Kaminsky,/players/k/kaminfr01.html,PF,7-0,240,"April 4, 1993",2
7,CHO,2018,Michael Kidd-Gilchrist,/players/k/kiddgmi01.html,SF,6-6,232,"September 26, 1993",5
8,CHO,2018,Jeremy Lamb,/players/l/lambje01.html,SG,6-5,180,"May 30, 1992",5
9,CHO,2018,Mangok Mathiang,/players/m/mathima01.html,C,6-10,230,"October 8, 1992",R
10,CHO,2018,Malik Monk,/players/m/monkma01.html,SG,6-3,200,"February 4, 1998",R
11,CHO,2018,Johnny O'Bryant,/players/o/obryajo01.html,PF,6-9,257,"June 1, 1993",3
12,CHO,2018,Marcus Paige,/players/p/paigema01.html,PG,6-1,175,"September 11, 1993",R
13,CHO,2018,Julyan Stone,/players/s/stoneju01.html,SG,6-6,200,"December 7, 1988",3
14,CHO,2018,Kemba Walker,/players/w/walkeke02.html,PG,6-0,184,"May 8, 1990",6
15,CHO,2018,Marvin Williams,/players/w/willima02.html,PF,6-8,237,"June 19, 1986",12
16,CHO,2018,Cody Zeller,/players/z/zelleco01.html,C,6-11,240,"October 5, 1992",4
0,CLE,2018,José Calderón,/players/c/caldejo01.html,PG,6-3,200,"September 28, 1981",12
1,CLE,2018,Jordan Clarkson,/players/c/clarkjo01.html,SG,6-4,194,"June 7, 1992",3
2,CLE,2018,Jae Crowder,/players/c/crowdja01.html,SF,6-6,235,"July 6, 1990",5
3,CLE,2018,Channing Frye,/players/f/fryech01.html,C,7-0,255,"May 17, 1983",11
4,CLE,2018,Jeff Green,/players/g/greenje02.html,PF,6-8,235,"August 28, 1986",9
5,CLE,2018,George Hill,/players/h/hillge01.html,PG,6-4,188,"May 4, 1986",9
6,CLE,2018,John Holland,/players/h/hollajo02.html,SF,6-5,205,"November 6, 1988",1
7,CLE,2018,Rodney Hood,/players/h/hoodro01.html,SG,6-8,208,"October 20, 1992",3
8,CLE,2018,LeBron James,/players/j/jamesle01.html,PF,6-9,250,"December 30, 1984",14
9,CLE,2018,Kyle Korver,/players/k/korveky01.html,SG,6-7,212,"March 17, 1981",14
10,CLE,2018,Kevin Love,/players/l/loveke01.html,C,6-8,251,"September 7, 1988",9
11,CLE,2018,Larry Nance Jr.,/players/n/nancela02.html,C,6-7,245,"January 1, 1993",2
12,CLE,2018,Cedi Osman,/players/o/osmande01.html,SF,6-7,230,"April 8, 1995",R
13,CLE,2018,Kendrick Perkins,/players/p/perkike01.html,C,6-10,270,"November 10, 1984",13
14,CLE,2018,London Perrantes,/players/p/perralo01.html,PG,6-2,200,"October 3, 1994",R
15,CLE,2018,Derrick Rose,/players/r/rosede01.html,PG,6-3,200,"October 4, 1988",8
16,CLE,2018,Iman Shumpert,/players/s/shumpim01.html,SG,6-5,215,"June 26, 1990",6
17,CLE,2018,J.R. Smith,/players/s/smithjr01.html,SG,6-6,225,"September 9, 1985",13
18,CLE,2018,Isaiah Thomas,/players/t/thomais02.html,PG,5-9,185,"February 7, 1989",6
19,CLE,2018,Tristan Thompson,/players/t/thomptr01.html,C,6-9,254,"March 13, 1991",6
20,CLE,2018,Dwyane Wade,/players/w/wadedw01.html,SG,6-4,220,"January 17, 1982",14
21,CLE,2018,Ante Žižić,/players/z/zizican01.html,C,6-10,266,"January 4, 1997",R
0,DAL,2018,J.J. Barea,/players/b/bareajo01.html,PG,5-10,180,"June 26, 1984",11
1,DAL,2018,Harrison Barnes,/players/b/barneha02.html,PF,6-8,225,"May 30, 1992",5
2,DAL,2018,Gian Clavell,/players/c/clavegi01.html,SG,6-4,185,"November 26, 1993",R
3,DAL,2018,Antonius Cleveland,/players/c/clevean01.html,SG,6-5,195,"February 2, 1994",R
4,DAL,2018,Kyle Collinsworth,/players/c/colliky01.html,SF,6-6,210,"October 3, 1991",R
5,DAL,2018,Yogi Ferrell,/players/f/ferreyo01.html,SG,6-0,178,"May 9, 1993",1
6,DAL,2018,Dorian Finney-Smith,/players/f/finnedo01.html,PF,6-7,220,"May 4, 1993",1
7,DAL,2018,Devin Harris,/players/h/harride01.html,PG,6-3,185,"February 27, 1983",13
8,DAL,2018,Aaron Harrison,/players/h/harriaa01.html,SG,6-6,210,"October 28, 1994",2
9,DAL,2018,Scotty Hopson,/players/h/hopsosc01.html,SG,6-7,204,"August 8, 1989",1
10,DAL,2018,Jalen Jones,/players/j/jonesja04.html,SF,6-7,220,"May 27, 1993",R
11,DAL,2018,Maxi Kleber,/players/k/klebima01.html,PF,6-10,240,"January 29, 1992",R
12,DAL,2018,Wesley Matthews,/players/m/matthwe02.html,SF,6-4,220,"October 14, 1986",8
13,DAL,2018,Doug McDermott,/players/m/mcderdo01.html,SF,6-7,225,"January 3, 1992",3
14,DAL,2018,Josh McRoberts,/players/m/mcrobjo01.html,PF,6-10,240,"February 28, 1987",10
15,DAL,2018,Salah Mejri,/players/m/mejrisa01.html,C,7-2,235,"June 15, 1986",2
16,DAL,2018,Johnathan Motley,/players/m/motlejo01.html,PF,6-8,230,"May 4, 1995",R
17,DAL,2018,Nerlens Noel,/players/n/noelne01.html,C,6-11,220,"April 10, 1994",3
18,DAL,2018,Dirk Nowitzki,/players/n/nowitdi01.html,C,7-0,245,"June 19, 1978",19
19,DAL,2018,Dwight Powell,/players/p/poweldw01.html,C,6-10,240,"July 20, 1991",3
20,DAL,2018,Dennis Smith Jr.,/players/s/smithde03.html,PG,6-2,205,"November 25, 1997",R
21,DAL,2018,Jameel Warney,/players/w/warneja01.html,PF,6-8,260,"January 31, 1994",R
22,DAL,2018,Jeff Withey,/players/w/witheje01.html,C,7-0,231,"March 7, 1990",4
0,DEN,2018,Darrell Arthur,/players/a/arthuda01.html,PF,6-9,235,"March 25, 1988",8
1,DEN,2018,Will Barton,/players/b/bartowi01.html,SG,6-6,181,"January 6, 1991",5
2,DEN,2018,Malik Beasley,/players/b/beaslma01.html,SG,6-4,187,"November 26, 1996",1
3,DEN,2018,Wilson Chandler,/players/c/chandwi01.html,SF,6-8,235,"May 10, 1987",9
4,DEN,2018,Torrey Craig,/players/c/craigto01.html,SF,6-7,221,"December 19, 1990",R
5,DEN,2018,Kenneth Faried,/players/f/farieke01.html,PF,6-8,220,"November 19, 1989",6
6,DEN,2018,Devin Harris,/players/h/harride01.html,PG,6-3,185,"February 27, 1983",13
7,DEN,2018,Gary Harris,/players/h/harriga01.html,SG,6-4,210,"September 14, 1994",3
8,DEN,2018,Juancho Hernangómez,/players/h/hernaju01.html,PF,6-9,214,"September 28, 1995",1
9,DEN,2018,Richard Jefferson,/players/j/jefferi01.html,SF,6-7,233,"June 21, 1980",16
10,DEN,2018,Nikola Jokić,/players/j/jokicni01.html,C,6-11,284,"February 19, 1995",2
11,DEN,2018,Tyler Lydon,/players/l/lydonty01.html,PF,6-10,225,"April 9, 1996",R
12,DEN,2018,Trey Lyles,/players/l/lylestr01.html,PF,6-9,234,"November 5, 1995",2
13,DEN,2018,Paul Millsap,/players/m/millspa01.html,PF,6-7,257,"February 10, 1985",11
14,DEN,2018,Monte Morris,/players/m/morrimo01.html,PG,6-2,183,"June 27, 1995",R
15,DEN,2018,Emmanuel Mudiay,/players/m/mudiaem01.html,PG,6-3,200,"March 5, 1996",2
16,DEN,2018,Jamal Murray,/players/m/murraja01.html,PG,6-4,215,"February 23, 1997",1
17,DEN,2018,Mason Plumlee,/players/p/plumlma01.html,C,6-11,254,"March 5, 1990",4
0,DET,2018,Avery Bradley,/players/b/bradlav01.html,SG,6-3,180,"November 26, 1990",7
1,DET,2018,Reggie Bullock,/players/b/bullore01.html,SF,6-6,205,"March 16, 1991",4
2,DET,2018,Dwight Buycks,/players/b/buyckdw01.html,PG,6-3,190,"March 6, 1989",2
3,DET,2018,Andre Drummond,/players/d/drumman01.html,C,6-10,279,"August 10, 1993",5
4,DET,2018,Henry Ellenson,/players/e/ellenhe01.html,PF,6-10,240,"January 13, 1997",1
5,DET,2018,James Ennis III,/players/e/ennisja01.html,SF,6-6,215,"July 1, 1990",3
6,DET,2018,Kay Felder,/players/f/feldeka01.html,PG,5-9,176,"March 29, 1995",1
7,DET,2018,Langston Galloway,/players/g/gallola01.html,SG,6-1,200,"December 9, 1991",3
8,DET,2018,Blake Griffin,/players/g/griffbl01.html,PF,6-9,250,"March 16, 1989",7
9,DET,2018,Tobias Harris,/players/h/harrito02.html,PF,6-8,226,"July 15, 1992",6
10,DET,2018,Reggie Hearn,/players/h/hearnre01.html,SG,6-5,210,"August 14, 1991",R
11,DET,2018,Reggie Jackson,/players/j/jacksre01.html,PG,6-2,208,"April 16, 1990",6
12,DET,2018,Stanley Johnson,/players/j/johnsst04.html,SF,6-6,242,"May 29, 1996",2
13,DET,2018,Luke Kennard,/players/k/kennalu01.html,SG,6-5,206,"June 24, 1996",R
14,DET,2018,Jon Leuer,/players/l/leuerjo01.html,PF,6-10,228,"May 14, 1989",6
15,DET,2018,Boban Marjanović,/players/m/marjabo01.html,C,7-3,290,"August 15, 1988",2
16,DET,2018,Luis Montero,/players/m/montelu01.html,SG,6-7,185,"April 6, 1993",1
17,DET,2018,Eric Moreland,/players/m/moreler01.html,PF,6-10,238,"December 24, 1991",2
18,DET,2018,Jameer Nelson,/players/n/nelsoja01.html,PG,6-0,190,"February 9, 1982",13
19,DET,2018,Willie Reed,/players/r/reedwi02.html,C,6-10,220,"May 16, 1990",2
20,DET,2018,Ish Smith,/players/s/smithis01.html,PG,6-0,175,"July 5, 1988",7
21,DET,2018,Anthony Tolliver,/players/t/tollian01.html,PF,6-8,240,"June 1, 1985",9
0,GSW,2018,Jordan Bell,/players/b/belljo01.html,C,6-8,216,"January 7, 1995",R
1,GSW,2018,Chris Boucher,/players/b/bouchch01.html,PF,6-9,200,"January 11, 1993",R
2,GSW,2018,Omri Casspi,/players/c/casspom01.html,SF,6-9,225,"June 22, 1988",8
3,GSW,2018,Quinn Cook,/players/c/cookqu01.html,PG,6-1,180,"March 23, 1993",1
4,GSW,2018,Stephen Curry,/players/c/curryst01.html,PG,6-2,185,"March 14, 1988",8
5,GSW,2018,Kevin Durant,/players/d/duranke01.html,SF,6-10,240,"September 29, 1988",10
6,GSW,2018,Draymond Green,/players/g/greendr01.html,PF,6-6,230,"March 4, 1990",5
7,GSW,2018,Andre Iguodala,/players/i/iguodan01.html,SF,6-6,215,"January 28, 1984",13
8,GSW,2018,Damian Jones,/players/j/jonesda03.html,C,6-11,245,"June 30, 1995",1
9,GSW,2018,Shaun Livingston,/players/l/livinsh01.html,PG,6-7,192,"September 11, 1985",12
10,GSW,2018,Kevon Looney,/players/l/looneke01.html,C,6-9,222,"February 6, 1996",2
11,GSW,2018,Patrick McCaw,/players/m/mccawpa01.html,SG,6-7,181,"October 25, 1995",1
12,GSW,2018,JaVale McGee,/players/m/mcgeeja01.html,C,7-0,270,"January 19, 1988",9
13,GSW,2018,Zaza Pachulia,/players/p/pachuza01.html,C,6-11,270,"February 10, 1984",14
14,GSW,2018,Klay Thompson,/players/t/thompkl01.html,SG,6-6,215,"February 8, 1990",6
15,GSW,2018,David West,/players/w/westda01.html,C,6-9,250,"August 29, 1980",14
16,GSW,2018,Nick Young,/players/y/youngni01.html,SG,6-7,210,"June 1, 1985",10
0,HOU,2018,Ryan Anderson,/players/a/anderry01.html,PF,6-9,240,"May 6, 1988",9
1,HOU,2018,Trevor Ariza,/players/a/arizatr01.html,SF,6-8,215,"June 30, 1985",13
2,HOU,2018,Tarik Black,/players/b/blackta01.html,C,6-9,250,"November 22, 1991",3
3,HOU,2018,Bobby Brown,/players/b/brownbo02.html,PG,6-2,175,"September 24, 1984",3
4,HOU,2018,Markel Brown,/players/b/brownma02.html,SG,6-3,190,"January 29, 1992",2
5,HOU,2018,Isaiah Canaan,/players/c/canaais01.html,SG,6-0,201,"May 21, 1991",4
6,HOU,2018,Clint Capela,/players/c/capelca01.html,C,6-10,240,"May 18, 1994",3
7,HOU,2018,Eric Gordon,/players/g/gordoer01.html,SG,6-3,215,"December 25, 1988",9
8,HOU,2018,Gerald Green,/players/g/greenge01.html,SG,6-6,205,"January 26, 1986",10
9,HOU,2018,James Harden,/players/h/hardeja01.html,SG,6-5,220,"August 26, 1989",8
10,HOU,2018,Nenê,/players/h/hilarne01.html,C,6-11,250,"September 13, 1982",15
11,HOU,2018,R.J. Hunter,/players/h/hunterj01.html,SG,6-5,185,"October 24, 1993",2
12,HOU,2018,Aaron Jackson,/players/j/jacksaa01.html,PG,6-4,185,"May 6, 1986",R
13,HOU,2018,Demetrius Jackson,/players/j/jacksde01.html,PG,6-1,201,"September 7, 1994",1
14,HOU,2018,Joe Johnson,/players/j/johnsjo02.html,SF,6-7,240,"June 29, 1981",16
15,HOU,2018,Luc Mbah a Moute,/players/m/mbahalu01.html,PF,6-8,230,"September 9, 1986",9
16,HOU,2018,Chinanu Onuaku,/players/o/onuakch01.html,C,6-10,245,"November 1, 1996",1
17,HOU,2018,Chris Paul,/players/p/paulch01.html,PG,6-0,175,"May 6, 1985",12
18,HOU,2018,Zhou Qi,/players/q/qizh01.html,C,7-1,210,"January 16, 1996",R
19,HOU,2018,Tim Quarterman,/players/q/quartti01.html,SG,6-6,195,"October 27, 1994",1
20,HOU,2018,P.J. Tucker,/players/t/tuckepj01.html,PF,6-5,245,"May 5, 1985",6
21,HOU,2018,Briante Weber,/players/w/weberbr01.html,PG,6-2,165,"December 29, 1992",2
22,HOU,2018,Troy Williams,/players/w/willitr02.html,SF,6-7,218,"December 30, 1994",1
23,HOU,2018,Brandan Wright,/players/w/wrighbr03.html,PF,6-10,210,"October 5, 1987",9
0,IND,2018,Ike Anigbogu,/players/a/anigbik01.html,C,6-10,250,"October 17, 1998",R
1,IND,2018,Bojan Bogdanović,/players/b/bogdabo02.html,SF,6-7,226,"April 18, 1989",3
2,IND,2018,Trevor Booker,/players/b/booketr01.html,PF,6-8,228,"November 25, 1987",7
3,IND,2018,Darren Collison,/players/c/collida01.html,PG,6-0,175,"August 23, 1987",8
4,IND,2018,Al Jefferson,/players/j/jeffeal01.html,C,6-10,289,"January 4, 1985",13
5,IND,2018,Cory Joseph,/players/j/josepco01.html,PG,6-3,200,"August 20, 1991",6
6,IND,2018,T.J. Leaf,/players/l/leaftj01.html,PF,6-10,222,"April 30, 1997",R
7,IND,2018,Trey McKinney-Jones,/players/m/mckintr01.html,SG,6-5,214,"August 27, 1990",R
8,IND,2018,Ben Moore,/players/m/moorebe01.html,PF,6-8,220,"May 13, 1995",R
9,IND,2018,Victor Oladipo,/players/o/oladivi01.html,SG,6-4,213,"May 4, 1992",4
10,IND,2018,Alex Poythress,/players/p/poythal01.html,PF,6-9,235,"September 6, 1993",1
11,IND,2018,Glenn Robinson III,/players/r/robingl02.html,SF,6-6,222,"January 8, 1994",3
12,IND,2018,Domantas Sabonis,/players/s/sabondo01.html,C,6-11,240,"May 3, 1996",1
13,IND,2018,Lance Stephenson,/players/s/stephla01.html,SG,6-6,230,"September 5, 1990",7
14,IND,2018,Edmond Sumner,/players/s/sumneed01.html,PG,6-4,196,"December 31, 1995",R
15,IND,2018,Myles Turner,/players/t/turnemy01.html,C,6-11,250,"March 24, 1996",2
16,IND,2018,Damien Wilkins,/players/w/wilkida02.html,SF,6-6,225,"January 11, 1980",9
17,IND,2018,Joe Young,/players/y/youngjo01.html,PG,6-2,180,"June 27, 1992",2
18,IND,2018,Thaddeus Young,/players/y/youngth01.html,PF,6-8,235,"June 21, 1988",10
0,LAC,2018,Patrick Beverley,/players/b/beverpa01.html,SG,6-1,180,"July 12, 1988",5
1,LAC,2018,Avery Bradley,/players/b/bradlav01.html,SG,6-3,180,"November 26, 1990",7
2,LAC,2018,Sam Dekker,/players/d/dekkesa01.html,PF,6-9,230,"May 6, 1994",2
3,LAC,2018,Jawun Evans,/players/e/evansja01.html,PG,6-0,185,"July 26, 1996",R
4,LAC,2018,Danilo Gallinari,/players/g/gallida01.html,SF,6-10,233,"August 8, 1988",8
5,LAC,2018,Blake Griffin,/players/g/griffbl01.html,PF,6-9,250,"March 16, 1989",7
6,LAC,2018,Montrezl Harrell,/players/h/harremo01.html,C,6-7,240,"January 26, 1994",2
7,LAC,2018,Tobias Harris,/players/h/harrito02.html,PF,6-8,226,"July 15, 1992",6
8,LAC,2018,Brice Johnson,/players/j/johnsbr02.html,PF,6-10,230,"June 27, 1994",1
9,LAC,2018,Wesley Johnson,/players/j/johnswe01.html,SF,6-7,215,"July 11, 1987",7
10,LAC,2018,DeAndre Jordan,/players/j/jordade01.html,C,6-11,265,"July 21, 1988",9
11,LAC,2018,Sean Kilpatrick,/players/k/kilpase01.html,SG,6-4,210,"January 6, 1990",3
12,LAC,2018,Boban Marjanović,/players/m/marjabo01.html,C,7-3,290,"August 15, 1988",2
13,LAC,2018,Willie Reed,/players/r/reedwi02.html,C,6-10,220,"May 16, 1990",2
14,LAC,2018,Austin Rivers,/players/r/riverau01.html,SG,6-4,200,"August 1, 1992",5
15,LAC,2018,Miloš Teodosić,/players/t/teodomi01.html,PG,6-5,196,"March 19, 1987",R
16,LAC,2018,Sindarius Thornwell,/players/t/thornsi01.html,SG,6-4,215,"November 15, 1994",R
17,LAC,2018,Tyrone Wallace,/players/w/wallaty01.html,PG,6-5,198,"June 10, 1994",R
18,LAC,2018,C.J. Williams,/players/w/willicj01.html,SG,6-5,226,"February 6, 1990",R
19,LAC,2018,Lou Williams,/players/w/willilo02.html,SG,6-1,175,"October 27, 1986",12
20,LAC,2018,Jamil Wilson,/players/w/wilsoja02.html,SF,6-7,230,"November 21, 1990",R
0,LAL,2018,Lonzo Ball,/players/b/balllo01.html,PG,6-6,190,"October 27, 1997",R
1,LAL,2018,Vander Blue,/players/b/blueva01.html,SG,6-4,200,"July 17, 1992",2
2,LAL,2018,Andrew Bogut,/players/b/bogutan01.html,C,7-0,260,"November 28, 1984",12
3,LAL,2018,Corey Brewer,/players/b/breweco01.html,SF,6-9,186,"March 5, 1986",10
4,LAL,2018,Thomas Bryant,/players/b/bryanth01.html,C,6-10,248,"July 31, 1997",R
5,LAL,2018,Kentavious Caldwell-Pope,/players/c/caldwke01.html,SG,6-5,204,"February 18, 1993",4
6,LAL,2018,Alex Caruso,/players/c/carusal01.html,PG,6-4,186,"February 28, 1994",R
7,LAL,2018,Jordan Clarkson,/players/c/clarkjo01.html,SG,6-4,194,"June 7, 1992",3
8,LAL,2018,Luol Deng,/players/d/denglu01.html,SF,6-9,237,"April 16, 1985",13
9,LAL,2018,Tyler Ennis,/players/e/ennisty01.html,PG,6-3,194,"August 24, 1994",3
10,LAL,2018,Channing Frye,/players/f/fryech01.html,C,7-0,255,"May 17, 1983",11
