,team,year,player,page,pos,height,weight,birth_date,years_experience
3,SAS,2019,Dante Cunningham,/players/c/cunnida01.html,PF,6-8,230,"April 22, 1987",9
4,SAS,2019,DeMar DeRozan,/players/d/derozde01.html,SG,6-6,220,"August 7, 1989",9
5,SAS,2019,Drew Eubanks,/players/e/eubandr01.html,PF,6-9,245,"February 1, 1997",R
6,SAS,2019,Bryn Forbes,/players/f/forbebr01.html,SG,6-2,205,"July 23, 1993",2
7,SAS,2019,Pau Gasol,/players/g/gasolpa01.html,C,7-0,250,"July 6, 1980",17
8,SAS,2019,Rudy Gay,/players/g/gayru01.html,PF,6-8,250,"August 17, 1986",12
9,SAS,2019,Chimezie Metu,/players/m/metuch01.html,PF,6-9,225,"March 22, 1997",R
10,SAS,2019,Patty Mills,/players/m/millspa02.html,PG,6-1,180,"August 11, 1988",9
11,SAS,2019,Donatas Motiejūnas,/players/m/motiedo01.html,PF,7-0,222,"September 20, 1990",5
12,SAS,2019,Jakob Poeltl,/players/p/poeltja01.html,C,7-1,245,"October 15, 1995",2
13,SAS,2019,Quincy Pondexter,/players/p/pondequ01.html,SF,6-7,230,"March 10, 1988",6
14,SAS,2019,Lonnie Walker IV,/players/w/walkelo01.html,SG,6-4,204,"December 14, 1998",R
15,SAS,2019,Derrick White,/players/w/whitede01.html,PG,6-4,190,"July 2, 1994",1
0,TOR,2019,OG Anunoby,/players/a/anunoog01.html,SF,6-7,232,"July 17, 1997",1
1,TOR,2019,Chris Boucher,/players/b/bouchch01.html,PF,6-9,200,"January 11, 1993",1
2,TOR,2019,Lorenzo Brown,/players/b/brownlo01.html,PG,6-5,189,"August 26, 1990",4
3,TOR,2019,Marc Gasol,/players/g/gasolma01.html,C,6-11,255,"January 29, 1985",10
4,TOR,2019,Danny Green,/players/g/greenda02.html,SG,6-6,215,"June 22, 1987",9
5,TOR,2019,Serge Ibaka,/players/i/ibakase01.html,C,6-10,235,"September 18, 1989",9
6,TOR,2019,Kawhi Leonard,/players/l/leonaka01.html,SF,6-7,225,"June 29, 1991",7
7,TOR,2019,Jeremy Lin,/players/l/linje01.html,PG,6-3,200,"August 23, 1988",8
8,TOR,2019,Kyle Lowry,/players/l/lowryky01.html,PG,6-0,196,"March 25, 1986",12
9,TOR,2019,Jordan Loyd,/players/l/loydjo01.html,PG,6-4,210,"July 27, 1993",R
10,TOR,2019,Patrick McCaw,/players/m/mccawpa01.html,SG,6-7,181,"October 25, 1995",2
11,TOR,2019,Jodie Meeks,/players/m/meeksjo01.html,SG,6-4,210,"August 21, 1987",9
12,TOR,2019,C.J. Miles,/players/m/milescj01.html,SF,6-6,220,"March 18, 1987",13
13,TOR,2019,Malcolm Miller,/players/m/millema01.html,SF,6-7,210,"March 6, 1993",1
14,TOR,2019,Greg Monroe,/players/m/monrogr01.html,C,6-11,265,"June 4, 1990",8
15,TOR,2019,Eric Moreland,/players/m/moreler01.html,PF,6-10,238,"December 24, 1991",3
16,TOR,2019,Norman Powell,/players/p/powelno01.html,SG,6-3,215,"May 25, 1993",3
17,TOR,2019,Malachi Richardson,/players/r/richama01.html,SG,6-6,205,"January 5, 1996",2
18,TOR,2019,Pascal Siakam,/players/s/siakapa01.html,PF,6-9,230,"April 2, 1994",2
19,TOR,2019,Jonas Valančiūnas,/players/v/valanjo01.html,C,6-11,265,"May 6, 1992",6
20,TOR,2019,Fred VanVleet,/players/v/vanvlfr01.html,PG,6-1,197,"February 25, 1994",2
21,TOR,2019,Delon Wright,/players/w/wrighde01.html,PG,6-5,185,"April 26, 1992",3
0,UTA,2019,Grayson Allen,/players/a/allengr01.html,SG,6-4,198,"October 8, 1995",R
1,UTA,2019,Tony Bradley,/players/b/bradlto01.html,C,6-10,248,"January 8, 1998",1
2,UTA,2019,Alec Burks,/players/b/burksal01.html,SG,6-6,214,"July 20, 1991",7
3,UTA,2019,Tyler Cavanaugh,/players/c/cavanty01.html,PF,6-9,238,"February 9, 1994",1
4,UTA,2019,Jae Crowder,/players/c/crowdja01.html,SF,6-6,235,"July 6, 1990",6
5,UTA,2019,Dante Exum,/players/e/exumda01.html,PG,6-5,214,"July 13, 1995",3
6,UTA,2019,Derrick Favors,/players/f/favorde01.html,C,6-9,265,"July 15, 1991",8
7,UTA,2019,Rudy Gobert,/players/g/goberru01.html,C,7-1,258,"June 26, 1992",5
8,UTA,2019,Joe Ingles,/players/i/inglejo01.html,PF,6-8,220,"October 2, 1987",4
9,UTA,2019,Kyle Korver,/players/k/korveky01.html,SG,6-7,212,"March 17, 1981",15
10,UTA,2019,Donovan Mitchell,/players/m/mitchdo01.html,SG,6-1,215,"September 7, 1996",1
11,UTA,2019,Naz Mitrou-Long,/players/m/mitrona01.html,SG,6-3,218,"August 3, 1993",1
12,UTA,2019,Raul Neto,/players/n/netora01.html,PG,6-1,180,"May 19, 1992",3
13,UTA,2019,Georges Niang,/players/n/niangge01.html,PF,6-7,230,"June 17, 1993",2
14,UTA,2019,Royce O'Neale,/players/o/onealro01.html,SF,6-4,226,"June 5, 1993",1
15,UTA,2019,Ricky Rubio,/players/r/rubiori01.html,PG,6-2,190,"October 21, 1990",7
16,UTA,2019,Thabo Sefolosha,/players/s/sefolth01.html,SF,6-6,215,"May 2, 1984",12
17,UTA,2019,Ekpe Udoh,/players/u/udohek01.html,C,6-10,245,"May 20, 1987",6
0,WAS,2019,Trevor Ariza,/players/a/arizatr01.html,SF,6-8,215,"June 30, 1985",14
1,WAS,2019,Ron Baker,/players/b/bakerro01.html,SG,6-4,220,"March 30, 1993",2
2,WAS,2019,Bradley Beal,/players/b/bealbr01.html,SG,6-4,207,"June 28, 1993",6
3,WAS,2019,Troy Brown Jr.,/players/b/browntr01.html,SF,6-6,215,"July 28, 1999",R
4,WAS,2019,Thomas Bryant,/players/b/bryanth01.html,C,6-10,248,"July 31, 1997",1
5,WAS,2019,Sam Dekker,/players/d/dekkesa01.html,PF,6-9,230,"May 6, 1994",3
6,WAS,2019,Jeff Green,/players/g/greenje02.html,PF,6-8,235,"August 28, 1986",10
7,WAS,2019,Dwight Howard,/players/h/howardw01.html,C,6-10,265,"December 8, 1985",14
8,WAS,2019,John Jenkins,/players/j/jenkijo01.html,SG,6-4,215,"March 6, 1991",5
9,WAS,2019,Wesley Johnson,/players/j/johnswe01.html,SF,6-7,215,"July 11, 1987",8
10,WAS,2019,Ian Mahinmi,/players/m/mahinia01.html,C,6-11,262,"November 5, 1986",10
11,WAS,2019,Jordan McRae,/players/m/mcraejo01.html,SG,6-5,179,"March 28, 1991",2
12,WAS,2019,Markieff Morris,/players/m/morrima02.html,PF,6-9,245,"September 2, 1989",7
13,WAS,2019,Kelly Oubre Jr.,/players/o/oubreke01.html,SF,6-7,203,"December 9, 1995",3
14,WAS,2019,Jabari Parker,/players/p/parkeja01.html,PF,6-8,245,"March 15, 1995",4
15,WAS,2019,Gary Payton II,/players/p/paytoga02.html,PG,6-3,190,"December 1, 1992",2
16,WAS,2019,Otto Porter Jr.,/players/p/porteot01.html,SF,6-8,198,"June 3, 1993",5
17,WAS,2019,Bobby Portis,/players/p/portibo01.html,PF,6-10,250,"February 10, 1995",3
18,WAS,2019,Chasson Randle,/players/r/randlch01.html,PG,6-2,185,"February 5, 1993",1
19,WAS,2019,Austin Rivers,/players/r/riverau01.html,SG,6-4,200,"August 1, 1992",6
20,WAS,2019,Devin Robinson,/players/r/robinde01.html,SF,6-8,200,"March 7, 1995",1
21,WAS,2019,Tomáš Satoranský,/players/s/satorto01.html,PG,6-7,210,"October 30, 1991",2
22,WAS,2019,Jason Smith,/players/s/smithja02.html,C,7-0,240,"March 2, 1986",10
23,WAS,2019,John Wall,/players/w/walljo01.html,PG,6-3,210,"September 6, 1990",8
24,WAS,2019,Okaro White,/players/w/whiteok01.html,PF,6-8,205,"August 13, 1992",2
0,ATL,2020,DeAndre' Bembry,/players/b/bembrde01.html,SG,6-5,210,"July 4, 1994",3
1,ATL,2020,Charlie Brown Jr.,/players/b/brownch02.html,SG,6-6,199,"February 2, 1997",R
2,ATL,2020,Vince Carter,/players/c/cartevi01.html,PF,6-6,220,"January 26, 1977",21
3,ATL,2020,John Collins,/players/c/collijo01.html,PF,6-9,235,"September 23, 1997",2
4,ATL,2020,Allen Crabbe,/players/c/crabbal01.html,SG,6-5,212,"April 9, 1992",6
5,ATL,2020,Dewayne Dedmon,/players/d/dedmode01.html,C,7-0,245,"August 12, 1989",6
6,ATL,2020,Bruno Fernando,/players/f/fernabr01.html,C,6-9,240,"August 15, 1998",R
7,ATL,2020,Brandon Goodwin,/players/g/goodwbr01.html,PG,6-0,180,"October 2, 1995",1
8,ATL,2020,Treveon Graham,/players/g/grahatr01.html,SF,6-5,219,"October 28, 1993",3
9,ATL,2020,Kevin Huerter,/players/h/huertke01.html,SG,6-7,190,"August 27, 1998",1
10,ATL,2020,De'Andre Hunter,/players/h/huntede01.html,SF,6-8,225,"December 2, 1997",R
11,ATL,2020,Damian Jones,/players/j/jonesda03.html,C,6-11,245,"June 30, 1995",3
12,ATL,2020,Alex Len,/players/l/lenal01.html,C,7-0,250,"June 16, 1993",6
13,ATL,2020,Jabari Parker,/players/p/parkeja01.html,PF,6-8,245,"March 15, 1995",5
14,ATL,2020,Chandler Parsons,/players/p/parsoch01.html,PF,6-9,230,"October 25, 1988",8
15,ATL,2020,Cam Reddish,/players/r/reddica01.html,SF,6-8,218,"September 1, 1999",R
16,ATL,2020,Jeff Teague,/players/t/teaguje01.html,PG,6-3,195,"June 10, 1988",10
17,ATL,2020,Evan Turner,/players/t/turneev01.html,SG,6-6,220,"October 27, 1988",9
18,ATL,2020,Tyrone Wallace,/players/w/wallaty01.html,SG,6-5,198,"June 10, 1994",2
19,ATL,2020,Paul Watson,/players/w/watsopa01.html,SF,6-6,210,"December 30, 1994",R
20,ATL,2020,Trae Young,/players/y/youngtr01.html,PG,6-1,164,"September 19, 1998",1
0,BOS,2020,Jaylen Brown,/players/b/brownja02.html,SG,6-6,223,"October 24, 1996",3
1,BOS,2020,Carsen Edwards,/players/e/edwarca01.html,SG,5-11,200,"March 12, 1998",R
2,BOS,2020,Tacko Fall,/players/f/fallta01.html,C,7-6,311,"December 10, 1995",R
3,BOS,2020,Enes Freedom,/players/k/kanteen01.html,C,6-10,250,"May 20, 1992",8
4,BOS,2020,Javonte Green,/players/g/greenja02.html,SG,6-4,205,"July 23, 1993",R
5,BOS,2020,Gordon Hayward,/players/h/haywago01.html,SF,6-7,225,"March 23, 1990",9
6,BOS,2020,Romeo Langford,/players/l/langfro01.html,SG,6-4,216,"October 25, 1999",R
7,BOS,2020,Semi Ojeleye,/players/o/ojelese01.html,PF,6-6,240,"December 5, 1994",2
8,BOS,2020,Vincent Poirier,/players/p/poirivi01.html,C,7-0,235,"October 17, 1993",R
9,BOS,2020,Marcus Smart,/players/s/smartma01.html,SG,6-3,220,"March 6, 1994",5
10,BOS,2020,Jayson Tatum,/players/t/tatumja01.html,PF,6-8,210,"March 3, 1998",2
11,BOS,2020,Daniel Theis,/players/t/theisda01.html,C,6-8,245,"April 4, 1992",2
12,BOS,2020,Kemba Walker,/players/w/walkeke02.html,PG,6-0,184,"May 8, 1990",8
13,BOS,2020,Brad Wanamaker,/players/w/wanambr01.html,PG,6-3,210,"July 25, 1989",1
14,BOS,2020,Tremont Waters,/players/w/watertr01.html,PG,5-10,175,"January 10, 1998",R
15,BOS,2020,Grant Williams,/players/w/willigr01.html,PF,6-6,236,"November 30, 1998",R
16,BOS,2020,Robert Williams,/players/w/williro04.html,C,6-9,237,"October 17, 1997",1
0,BRK,2020,Jarrett Allen,/players/a/allenja01.html,C,6-11,243,"April 21, 1998",2
1,BRK,2020,Justin Anderson,/players/a/anderju01.html,SG,6-6,230,"November 19, 1993",4
2,BRK,2020,Wilson Chandler,/players/c/chandwi01.html,PF,6-8,235,"May 10, 1987",11
3,BRK,2020,Chris Chiozza,/players/c/chiozch01.html,PG,5-11,175,"November 21, 1995",1
4,BRK,2020,Nic Claxton,/players/c/claxtni01.html,C,6-11,215,"April 17, 1999",R
5,BRK,2020,Jamal Crawford,/players/c/crawfja01.html,SG,6-5,185,"March 20, 1980",19
6,BRK,2020,Spencer Dinwiddie,/players/d/dinwisp01.html,PG,6-5,215,"April 6, 1993",5
7,BRK,2020,Henry Ellenson,/players/e/ellenhe01.html,C,6-10,240,"January 13, 1997",3
8,BRK,2020,Donta Hall,/players/h/halldo01.html,C,6-9,232,"August 7, 1997",R
9,BRK,2020,Joe Harris,/players/h/harrijo01.html,SF,6-6,220,"September 6, 1991",5
